RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_START	DATA_FILE	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P3_C2575_S1_O5	1	170	3228	170	3	Target_Area	3059	P3_C2575_S1_O5.edf	0	2	1	p325751	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P3_C2575_S1_O5	1	281	3588	661	1	LeftSample	3308	P3_C2575_S1_O5.edf	0	2	1	p325751	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P3_C2575_S1_O5	1	205	3823	661	1	LeftSample	3619	P3_C2575_S1_O5.edf	0	2	1	p325751	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P3_C2575_S1_O5	1	175	4078	661	1	LeftSample	3903	P3_C2575_S1_O5.edf	0	2	1	p325751	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P3_C2575_S1_O5	2	132	3189	132	3	Target_Area	3058	P3_C2575_S1_O5.edf	1	1	2	p325751	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINEDnull	43.png	2
P3_C2575_S1_O5	2	344	3599	741	2	Right_Sample	3256	P3_C2575_S1_O5.edf	1	1	2	p325751	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINEDnull	43.png	2
P3_C2575_S1_O5	2	397	4027	741	2	Right_Sample	3630	P3_C2575_S1_O5.edf	1	1	2	p325751	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINEDnull	43.png	2
P3_C2575_S1_O5	3	76	3133	76	3	Target_Area	3058	P3_C2575_S1_O5.edf	1	8	2	p325751	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P3_C2575_S1_O5	3	253	3453	718	2	Right_Sample	3201	P3_C2575_S1_O5.edf	1	8	2	p325751	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P3_C2575_S1_O5	3	169	3654	718	2	Right_Sample	3486	P3_C2575_S1_O5.edf	1	8	2	p325751	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P3_C2575_S1_O5	3	296	3977	718	2	Right_Sample	3681	P3_C2575_S1_O5.edf	1	8	2	p325751	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P3_C2575_S1_O5	4	157	3213	157	3	Target_Area	3057	P3_C2575_S1_O5.edf	1	2	2	p325751	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
P3_C2575_S1_O5	4	361	3642	805	2	Right_Sample	3282	P3_C2575_S1_O5.edf	1	2	2	p325751	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
P3_C2575_S1_O5	4	120	3792	805	2	Right_Sample	3673	P3_C2575_S1_O5.edf	1	2	2	p325751	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
