RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_SAC_END_INTEREST_AREAS	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_END_INTEREST_AREA_LABEL	CURRENT_SAC_START_INTEREST_AREAS	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_START_TIME	TRIAL_START_TIME	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P1_C9010_S2_O6	1	[ ]	.	.	[ 3]	3	Target_Area	3260	1213445	1	6	1	P190101	1	False	UNDEFINED	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P1_C9010_S2_O6	1	[ 3]	3	Target_Area	[ ]	.	.	3554	1213445	1	6	1	P190101	1	False	UNDEFINED	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P1_C9010_S2_O6	1	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3759	1213445	1	6	1	P190101	1	False	UNDEFINED	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P1_C9010_S2_O6	1	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3901	1213445	1	6	1	P190101	1	False	UNDEFINED	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P1_C9010_S2_O6	1	[ 1]	1	LeftSample	[ 1]	1	LeftSample	4045	1213445	1	6	1	P190101	1	False	UNDEFINED	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P1_C9010_S2_O6	2	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3185	1222458	1	5	1	P190101	2	False	UNDEFINED	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P1_C9010_S2_O6	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3441	1222458	1	5	1	P190101	2	False	UNDEFINED	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P1_C9010_S2_O6	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3745	1222458	1	5	1	P190101	2	False	UNDEFINED	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P1_C9010_S2_O6	3	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3167	1231076	1	4	1	P190101	3	False	UNDEFINED	4	9.png	40.png	31.png	20.png	zero2.png	6.png	zero2.png	zero2.png	4.png	20.png	L	29.png	3
P1_C9010_S2_O6	3	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3405	1231076	1	4	1	P190101	3	False	UNDEFINED	4	9.png	40.png	31.png	20.png	zero2.png	6.png	zero2.png	zero2.png	4.png	20.png	L	29.png	3
P1_C9010_S2_O6	4	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3175	1239594	1	6	1	P190101	4	False	UNDEFINED	6	zero2.png	23.png	7.png	15.png	zero2.png	20.png	33.png	zero2.png	30.png	20.png	L	9.png	4
P1_C9010_S2_O6	4	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3516	1239594	1	6	1	P190101	4	False	UNDEFINED	6	zero2.png	23.png	7.png	15.png	zero2.png	20.png	33.png	zero2.png	30.png	20.png	L	9.png	4
P1_C9010_S2_O6	5	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3199	1248277	0	3	2	P190101	5	False	UNDEFINED	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P1_C9010_S2_O6	5	[ 2]	2	Right_Sample	[ 1]	1	LeftSample	3285	1248277	0	3	2	P190101	5	False	UNDEFINED	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P1_C9010_S2_O6	5	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3661	1248277	0	3	2	P190101	5	False	UNDEFINED	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P1_C9010_S2_O6	6	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3194	1259501	1	9	1	P190101	6	False	UNDEFINED	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P1_C9010_S2_O6	6	[ 3]	3	Target_Area	[ 1]	1	LeftSample	3934	1259501	1	9	1	P190101	6	False	UNDEFINED	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P1_C9010_S2_O6	7	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3170	1268234	1	9	1	P190101	7	False	UNDEFINED	9	zero2.png	34.png	zero2.png	14.png	11.png	zero2.png	49.png	32.png	17.png	17.png	L	21.png	7
