RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_START	DATA_FILE	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P4_C2575_S4_O9	1	155	3443	155	3	Target_Area	3289	P4_C2575_S4_O9.edf	0	6	1	4	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P4_C2575_S4_O9	1	365	3865	753	1	LeftSample	3501	P4_C2575_S4_O9.edf	0	6	1	4	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P4_C2575_S4_O9	1	388	4275	753	1	LeftSample	3887	P4_C2575_S4_O9.edf	0	6	1	4	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P4_C2575_S4_O9	2	127	3298	127	3	Target_Area	3172	P4_C2575_S4_O9.edf	1	1	2	4	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINEDnull	43.png	2
P4_C2575_S4_O9	2	298	3646	411	2	Right_Sample	3349	P4_C2575_S4_O9.edf	1	1	2	4	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINEDnull	43.png	2
P4_C2575_S4_O9	2	82	4081	411	2	Right_Sample	4000	P4_C2575_S4_O9.edf	1	1	2	4	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINEDnull	43.png	2
P4_C2575_S4_O9	2	31	4124	411	2	Right_Sample	4093	P4_C2575_S4_O9.edf	1	1	2	4	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINEDnull	43.png	2
P4_C2575_S4_O9	3	126	3182	126	3	Target_Area	3057	P4_C2575_S4_O9.edf	1	8	2	4	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S4_O9	3	345	3586	494	2	Right_Sample	3242	P4_C2575_S4_O9.edf	1	8	2	4	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S4_O9	3	94	3702	494	2	Right_Sample	3609	P4_C2575_S4_O9.edf	1	8	2	4	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S4_O9	3	51	3996	494	2	Right_Sample	3946	P4_C2575_S4_O9.edf	1	8	2	4	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S4_O9	3	4	4009	494	2	Right_Sample	4005	P4_C2575_S4_O9.edf	1	8	2	4	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S4_O9	4	144	3201	144	3	Target_Area	3058	P4_C2575_S4_O9.edf	1	2	2	4	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
P4_C2575_S4_O9	4	354	3615	516	2	Right_Sample	3262	P4_C2575_S4_O9.edf	1	2	2	4	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
P4_C2575_S4_O9	4	162	4043	516	2	Right_Sample	3881	P4_C2575_S4_O9.edf	1	2	2	4	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
P4_C2575_S4_O9	5	166	3224	166	3	Target_Area	3059	P4_C2575_S4_O9.edf	1	5	1	4	5	False	L	5	9.png	46.png	18.png	zero2.png	45.png	zero2.png	27.png	zero2.png	30.png	45.png	UNDEFINEDnull	31.png	5
P4_C2575_S4_O9	5	406	3690	406	1	LeftSample	3285	P4_C2575_S4_O9.edf	1	5	1	4	5	False	L	5	9.png	46.png	18.png	zero2.png	45.png	zero2.png	27.png	zero2.png	30.png	45.png	UNDEFINEDnull	31.png	5
P4_C2575_S4_O9	6	115	3172	115	3	Target_Area	3058	P4_C2575_S4_O9.edf	1	5	2	4	6	False	R	5	zero2.png	16.png	37.png	zero2.png	31.png	zero2.png	45.png	22.png	6.png	25.png	UNDEFINEDnull	31.png	6
P4_C2575_S4_O9	6	775	4010	775	2	Right_Sample	3235	P4_C2575_S4_O9.edf	1	5	2	4	6	False	R	5	zero2.png	16.png	37.png	zero2.png	31.png	zero2.png	45.png	22.png	6.png	25.png	UNDEFINEDnull	31.png	6
P4_C2575_S4_O9	7	194	3251	194	3	Target_Area	3058	P4_C2575_S4_O9.edf	0	8	2	4	7	False	L	1	26.png	34.png	zero2.png	zero2.png	39.png	3.png	21.png	12.png	zero2.png	26.png	UNDEFINEDnull	19.png	7
P4_C2575_S4_O9	7	768	4077	768	2	Right_Sample	3309	P4_C2575_S4_O9.edf	0	8	2	4	7	False	L	1	26.png	34.png	zero2.png	zero2.png	39.png	3.png	21.png	12.png	zero2.png	26.png	UNDEFINEDnull	19.png	7
P4_C2575_S4_O9	8	157	3212	157	3	Target_Area	3056	P4_C2575_S4_O9.edf	0	1	2	4	8	False	L	3	9.png	47.png	3.png	37.png	zero2.png	zero2.png	8.png	zero2.png	16.png	3.png	UNDEFINEDnull	44.png	8
P4_C2575_S4_O9	8	414	3688	544	2	Right_Sample	3275	P4_C2575_S4_O9.edf	0	1	2	4	8	False	L	3	9.png	47.png	3.png	37.png	zero2.png	zero2.png	8.png	zero2.png	16.png	3.png	UNDEFINEDnull	44.png	8
P4_C2575_S4_O9	8	130	4142	544	2	Right_Sample	4012	P4_C2575_S4_O9.edf	0	1	2	4	8	False	L	3	9.png	47.png	3.png	37.png	zero2.png	zero2.png	8.png	zero2.png	16.png	3.png	UNDEFINEDnull	44.png	8
P4_C2575_S4_O9	9	167	3223	167	3	Target_Area	3057	P4_C2575_S4_O9.edf	1	4	2	4	9	False	R	4	45.png	18.png	zero2.png	38.png	37.png	19.png	26.png	zero2.png	zero2.png	17.png	UNDEFINEDnull	38.png	9
P4_C2575_S4_O9	9	267	3551	739	2	Right_Sample	3285	P4_C2575_S4_O9.edf	1	4	2	4	9	False	R	4	45.png	18.png	zero2.png	38.png	37.png	19.png	26.png	zero2.png	zero2.png	17.png	UNDEFINEDnull	38.png	9
P4_C2575_S4_O9	9	472	4043	739	2	Right_Sample	3571	P4_C2575_S4_O9.edf	1	4	2	4	9	False	R	4	45.png	18.png	zero2.png	38.png	37.png	19.png	26.png	zero2.png	zero2.png	17.png	UNDEFINEDnull	38.png	9
P4_C2575_S4_O9	10	146	3202	146	3	Target_Area	3057	P4_C2575_S4_O9.edf	1	7	2	4	10	False	R	7	zero2.png	44.png	31.png	8.png	zero2.png	zero2.png	40.png	49.png	11.png	32.png	UNDEFINEDnull	40.png	10
P4_C2575_S4_O9	10	403	3674	602	2	Right_Sample	3272	P4_C2575_S4_O9.edf	1	7	2	4	10	False	R	7	zero2.png	44.png	31.png	8.png	zero2.png	zero2.png	40.png	49.png	11.png	32.png	UNDEFINEDnull	40.png	10
P4_C2575_S4_O9	10	199	3882	602	2	Right_Sample	3684	P4_C2575_S4_O9.edf	1	7	2	4	10	False	R	7	zero2.png	44.png	31.png	8.png	zero2.png	zero2.png	40.png	49.png	11.png	32.png	UNDEFINEDnull	40.png	10
P4_C2575_S4_O9	11	195	3252	195	3	Target_Area	3058	P4_C2575_S4_O9.edf	0	2	1	4	11	False	R	5	39.png	14.png	zero2.png	24.png	37.png	35.png	zero2.png	zero2.png	29.png	5.png	UNDEFINEDnull	37.png	11
