RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_START	DATA_FILE	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P1_C1090_S1_O7	1	162	3218	162	3	Target_Area	3057	P1_C1090_S1_O7.edf	0	9	1	arthur	1	False	R	4	39.png	zero2.png	6.png	18.png	zero2.png	30.png	27.png	zero2.png	48.png	35.png	UNDEFINEDnull	18.png	1
P1_C1090_S1_O7	1	391	3655	747	1	LeftSample	3265	P1_C1090_S1_O7.edf	0	9	1	arthur	1	False	R	4	39.png	zero2.png	6.png	18.png	zero2.png	30.png	27.png	zero2.png	48.png	35.png	UNDEFINEDnull	18.png	1
P1_C1090_S1_O7	1	350	4019	747	1	LeftSample	3670	P1_C1090_S1_O7.edf	0	9	1	arthur	1	False	R	4	39.png	zero2.png	6.png	18.png	zero2.png	30.png	27.png	zero2.png	48.png	35.png	UNDEFINEDnull	18.png	1
P1_C1090_S1_O7	1	6	4042	747	1	LeftSample	4036	P1_C1090_S1_O7.edf	0	9	1	arthur	1	False	R	4	39.png	zero2.png	6.png	18.png	zero2.png	30.png	27.png	zero2.png	48.png	35.png	UNDEFINEDnull	18.png	1
P1_C1090_S1_O7	2	15	3072	15	3	Target_Area	3058	P1_C1090_S1_O7.edf	1	5	1	arthur	2	False	R	5	40.png	50.png	zero2.png	zero2.png	30.png	zero2.png	22.png	6.png	42.png	10.png	UNDEFINEDnull	30.png	2
P1_C1090_S1_O7	2	191	3315	1059	1	LeftSample	3125	P1_C1090_S1_O7.edf	1	5	1	arthur	2	False	R	5	40.png	50.png	zero2.png	zero2.png	30.png	zero2.png	22.png	6.png	42.png	10.png	UNDEFINEDnull	30.png	2
P1_C1090_S1_O7	2	868	4210	1059	1	LeftSample	3342	P1_C1090_S1_O7.edf	1	5	1	arthur	2	False	R	5	40.png	50.png	zero2.png	zero2.png	30.png	zero2.png	22.png	6.png	42.png	10.png	UNDEFINEDnull	30.png	2
P1_C1090_S1_O7	3	125	3197	294	3	Target_Area	3073	P1_C1090_S1_O7.edf	1	2	1	arthur	3	False	L	2	zero2.png	39.png	21.png	27.png	16.png	7.png	zero2.png	48.png	zero2.png	39.png	UNDEFINEDnull	31.png	3
P1_C1090_S1_O7	3	554	3791	554	1	LeftSample	3238	P1_C1090_S1_O7.edf	1	2	1	arthur	3	False	L	2	zero2.png	39.png	21.png	27.png	16.png	7.png	zero2.png	48.png	zero2.png	39.png	UNDEFINEDnull	31.png	3
P1_C1090_S1_O7	3	169	4008	294	3	Target_Area	3839	P1_C1090_S1_O7.edf	1	2	1	arthur	3	False	L	2	zero2.png	39.png	21.png	27.png	16.png	7.png	zero2.png	48.png	zero2.png	39.png	UNDEFINEDnull	31.png	3
P1_C1090_S1_O7	4	114	3169	204	3	Target_Area	3056	P1_C1090_S1_O7.edf	0	9	1	arthur	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINEDnull	10.png	4
P1_C1090_S1_O7	4	437	3655	705	1	LeftSample	3219	P1_C1090_S1_O7.edf	0	9	1	arthur	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINEDnull	10.png	4
P1_C1090_S1_O7	4	268	3940	705	1	LeftSample	3673	P1_C1090_S1_O7.edf	0	9	1	arthur	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINEDnull	10.png	4
P1_C1090_S1_O7	4	90	4091	204	3	Target_Area	4001	P1_C1090_S1_O7.edf	0	9	1	arthur	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINEDnull	10.png	4
P1_C1090_S1_O7	5	128	3184	128	3	Target_Area	3057	P1_C1090_S1_O7.edf	1	3	2	arthur	5	False	R	3	38.png	32.png	33.png	25.png	zero2.png	2.png	zero2.png	zero2.png	17.png	6.png	UNDEFINEDnull	33.png	5
