RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_START	DATA_FILE	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P4_C2575_S3_O8	1	295	4057	295	3	Target_Area	3763	P4_C2575_S3_O8.edf	1	8	2	4c	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P4_C2575_S3_O8	1	428	4534	674	2	Right_Sample	4107	P4_C2575_S3_O8.edf	1	8	2	4c	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P4_C2575_S3_O8	1	246	4882	674	2	Right_Sample	4636	P4_C2575_S3_O8.edf	1	8	2	4c	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINEDnull	3.png	1
P4_C2575_S3_O8	2	137	3194	137	3	Target_Area	3058	P4_C2575_S3_O8.edf	0	6	1	4c	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINEDnull	43.png	2
P4_C2575_S3_O8	2	782	4026	782	1	LeftSample	3244	P4_C2575_S3_O8.edf	0	6	1	4c	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINEDnull	43.png	2
P4_C2575_S3_O8	3	16	3072	168	3	Target_Area	3057	P4_C2575_S3_O8.edf	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S3_O8	3	152	3231	168	3	Target_Area	3080	P4_C2575_S3_O8.edf	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S3_O8	3	296	3574	740	2	Right_Sample	3279	P4_C2575_S3_O8.edf	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S3_O8	3	183	3777	740	2	Right_Sample	3595	P4_C2575_S3_O8.edf	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S3_O8	3	203	3992	740	2	Right_Sample	3790	P4_C2575_S3_O8.edf	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S3_O8	3	58	4059	740	2	Right_Sample	4001	P4_C2575_S3_O8.edf	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINEDnull	27.png	3
P4_C2575_S3_O8	4	163	3220	163	3	Target_Area	3058	P4_C2575_S3_O8.edf	1	2	2	4c	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
P4_C2575_S3_O8	4	301	3570	732	2	Right_Sample	3270	P4_C2575_S3_O8.edf	1	2	2	4c	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
P4_C2575_S3_O8	4	237	3828	732	2	Right_Sample	3592	P4_C2575_S3_O8.edf	1	2	2	4c	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
P4_C2575_S3_O8	4	194	4044	732	2	Right_Sample	3850	P4_C2575_S3_O8.edf	1	2	2	4c	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINEDnull	16.png	4
P4_C2575_S3_O8	5	168	3225	168	3	Target_Area	3058	P4_C2575_S3_O8.edf	1	5	1	4c	5	False	L	5	9.png	46.png	18.png	zero2.png	45.png	zero2.png	27.png	zero2.png	30.png	45.png	UNDEFINEDnull	31.png	5
