RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_START	DATA_FILE	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P4_C1090_S1_O12	1	152	3228	152	3	Target_Area	3077	P4_C1090_S1_O12.edf	0	9	1	p4s1	1	False	R	4	39.png	zero2.png	6.png	18.png	zero2.png	30.png	27.png	zero2.png	48.png	35.png	UNDEFINEDnull	18.png	1
P4_C1090_S1_O12	1	321	3599	762	1	LeftSample	3279	P4_C1090_S1_O12.edf	0	9	1	p4s1	1	False	R	4	39.png	zero2.png	6.png	18.png	zero2.png	30.png	27.png	zero2.png	48.png	35.png	UNDEFINEDnull	18.png	1
P4_C1090_S1_O12	1	441	4062	762	1	LeftSample	3621	P4_C1090_S1_O12.edf	0	9	1	p4s1	1	False	R	4	39.png	zero2.png	6.png	18.png	zero2.png	30.png	27.png	zero2.png	48.png	35.png	UNDEFINEDnull	18.png	1
P4_C1090_S1_O12	2	129	3184	129	3	Target_Area	3056	P4_C1090_S1_O12.edf	1	5	2	p4s1	2	False	R	5	40.png	50.png	zero2.png	zero2.png	30.png	zero2.png	22.png	6.png	42.png	10.png	UNDEFINEDnull	30.png	2
P4_C1090_S1_O12	2	413	3645	564	2	Right_Sample	3233	P4_C1090_S1_O12.edf	1	5	2	p4s1	2	False	R	5	40.png	50.png	zero2.png	zero2.png	30.png	zero2.png	22.png	6.png	42.png	10.png	UNDEFINEDnull	30.png	2
P4_C1090_S1_O12	2	151	3992	564	2	Right_Sample	3841	P4_C1090_S1_O12.edf	1	5	2	p4s1	2	False	R	5	40.png	50.png	zero2.png	zero2.png	30.png	zero2.png	22.png	6.png	42.png	10.png	UNDEFINEDnull	30.png	2
P4_C1090_S1_O12	3	146	3203	146	3	Target_Area	3058	P4_C1090_S1_O12.edf	0	3	2	p4s1	3	False	L	2	zero2.png	39.png	21.png	27.png	16.png	7.png	zero2.png	48.png	zero2.png	39.png	UNDEFINEDnull	31.png	3
P4_C1090_S1_O12	3	125	3372	383	2	Right_Sample	3248	P4_C1090_S1_O12.edf	0	3	2	p4s1	3	False	L	2	zero2.png	39.png	21.png	27.png	16.png	7.png	zero2.png	48.png	zero2.png	39.png	UNDEFINEDnull	31.png	3
P4_C1090_S1_O12	3	258	3653	383	2	Right_Sample	3396	P4_C1090_S1_O12.edf	0	3	2	p4s1	3	False	L	2	zero2.png	39.png	21.png	27.png	16.png	7.png	zero2.png	48.png	zero2.png	39.png	UNDEFINEDnull	31.png	3
P4_C1090_S1_O12	4	148	3204	148	3	Target_Area	3057	P4_C1090_S1_O12.edf	0	3	1	p4s1	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINEDnull	10.png	4
P4_C1090_S1_O12	4	308	3564	360	1	LeftSample	3257	P4_C1090_S1_O12.edf	0	3	1	p4s1	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINEDnull	10.png	4
P4_C1090_S1_O12	4	52	4026	360	1	LeftSample	3974	P4_C1090_S1_O12.edf	0	3	1	p4s1	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINEDnull	10.png	4
P4_C1090_S1_O12	5	157	3215	157	3	Target_Area	3059	P4_C1090_S1_O12.edf	1	3	2	p4s1	5	False	R	3	38.png	32.png	33.png	25.png	zero2.png	2.png	zero2.png	zero2.png	17.png	6.png	UNDEFINEDnull	33.png	5
P4_C1090_S1_O12	5	245	3509	413	2	Right_Sample	3265	P4_C1090_S1_O12.edf	1	3	2	p4s1	5	False	R	3	38.png	32.png	33.png	25.png	zero2.png	2.png	zero2.png	zero2.png	17.png	6.png	UNDEFINEDnull	33.png	5
P4_C1090_S1_O12	5	143	3670	413	2	Right_Sample	3528	P4_C1090_S1_O12.edf	1	3	2	p4s1	5	False	R	3	38.png	32.png	33.png	25.png	zero2.png	2.png	zero2.png	zero2.png	17.png	6.png	UNDEFINEDnull	33.png	5
P4_C1090_S1_O12	5	25	4044	413	2	Right_Sample	4019	P4_C1090_S1_O12.edf	1	3	2	p4s1	5	False	R	3	38.png	32.png	33.png	25.png	zero2.png	2.png	zero2.png	zero2.png	17.png	6.png	UNDEFINEDnull	33.png	5
P4_C1090_S1_O12	6	134	3191	134	3	Target_Area	3058	P4_C1090_S1_O12.edf	1	3	2	p4s1	6	False	R	3	zero2.png	19.png	42.png	33.png	3.png	9.png	zero2.png	zero2.png	12.png	21.png	UNDEFINEDnull	42.png	6
P4_C1090_S1_O12	6	592	3832	750	2	Right_Sample	3241	P4_C1090_S1_O12.edf	1	3	2	p4s1	6	False	R	3	zero2.png	19.png	42.png	33.png	3.png	9.png	zero2.png	zero2.png	12.png	21.png	UNDEFINEDnull	42.png	6
P4_C1090_S1_O12	6	158	4010	750	2	Right_Sample	3852	P4_C1090_S1_O12.edf	1	3	2	p4s1	6	False	R	3	zero2.png	19.png	42.png	33.png	3.png	9.png	zero2.png	zero2.png	12.png	21.png	UNDEFINEDnull	42.png	6
P4_C1090_S1_O12	7	186	3357	186	3	Target_Area	3172	P4_C1090_S1_O12.edf	1	8	2	p4s1	7	False	R	8	zero2.png	47.png	zero2.png	43.png	40.png	27.png	zero2.png	28.png	24.png	8.png	UNDEFINEDnull	28.png	7
P4_C1090_S1_O12	7	237	3648	698	2	Right_Sample	3412	P4_C1090_S1_O12.edf	1	8	2	p4s1	7	False	R	8	zero2.png	47.png	zero2.png	43.png	40.png	27.png	zero2.png	28.png	24.png	8.png	UNDEFINEDnull	28.png	7
P4_C1090_S1_O12	7	263	3928	698	2	Right_Sample	3666	P4_C1090_S1_O12.edf	1	8	2	p4s1	7	False	R	8	zero2.png	47.png	zero2.png	43.png	40.png	27.png	zero2.png	28.png	24.png	8.png	UNDEFINEDnull	28.png	7
P4_C1090_S1_O12	7	198	4140	698	2	Right_Sample	3943	P4_C1090_S1_O12.edf	1	8	2	p4s1	7	False	R	8	zero2.png	47.png	zero2.png	43.png	40.png	27.png	zero2.png	28.png	24.png	8.png	UNDEFINEDnull	28.png	7
P4_C1090_S1_O12	8	162	3218	162	3	Target_Area	3057	P4_C1090_S1_O12.edf	1	6	2	p4s1	8	False	R	6	zero2.png	zero2.png	35.png	zero2.png	29.png	23.png	11.png	30.png	13.png	16.png	UNDEFINEDnull	23.png	8
P4_C1090_S1_O12	8	246	3509	552	2	Right_Sample	3264	P4_C1090_S1_O12.edf	1	6	2	p4s1	8	False	R	6	zero2.png	zero2.png	35.png	zero2.png	29.png	23.png	11.png	30.png	13.png	16.png	UNDEFINEDnull	23.png	8
P4_C1090_S1_O12	8	135	3666	552	2	Right_Sample	3532	P4_C1090_S1_O12.edf	1	6	2	p4s1	8	False	R	6	zero2.png	zero2.png	35.png	zero2.png	29.png	23.png	11.png	30.png	13.png	16.png	UNDEFINEDnull	23.png	8
P4_C1090_S1_O12	8	171	4026	552	2	Right_Sample	3855	P4_C1090_S1_O12.edf	1	6	2	p4s1	8	False	R	6	zero2.png	zero2.png	35.png	zero2.png	29.png	23.png	11.png	30.png	13.png	16.png	UNDEFINEDnull	23.png	8
P4_C1090_S1_O12	9	134	3190	134	3	Target_Area	3057	P4_C1090_S1_O12.edf	1	8	2	p4s1	9	False	R	8	17.png	zero2.png	zero2.png	44.png	zero2.png	50.png	2.png	32.png	36.png	24.png	UNDEFINEDnull	32.png	9
P4_C1090_S1_O12	9	454	3696	753	2	Right_Sample	3243	P4_C1090_S1_O12.edf	1	8	2	p4s1	9	False	R	8	17.png	zero2.png	zero2.png	44.png	zero2.png	50.png	2.png	32.png	36.png	24.png	UNDEFINEDnull	32.png	9
P4_C1090_S1_O12	9	299	4010	753	2	Right_Sample	3711	P4_C1090_S1_O12.edf	1	8	2	p4s1	9	False	R	8	17.png	zero2.png	zero2.png	44.png	zero2.png	50.png	2.png	32.png	36.png	24.png	UNDEFINEDnull	32.png	9
P4_C1090_S1_O12	10	145	3201	145	3	Target_Area	3057	P4_C1090_S1_O12.edf	0	2	1	p4s1	10	False	R	1	11.png	47.png	zero2.png	8.png	39.png	zero2.png	zero2.png	32.png	18.png	23.png	UNDEFINEDnull	11.png	10
P4_C1090_S1_O12	10	379	3635	379	1	LeftSample	3257	P4_C1090_S1_O12.edf	0	2	1	p4s1	10	False	R	1	11.png	47.png	zero2.png	8.png	39.png	zero2.png	zero2.png	32.png	18.png	23.png	UNDEFINEDnull	11.png	10
P4_C1090_S1_O12	11	136	3308	136	3	Target_Area	3173	P4_C1090_S1_O12.edf	1	6	2	p4s1	11	False	R	6	zero2.png	17.png	47.png	zero2.png	2.png	16.png	zero2.png	5.png	23.png	28.png	UNDEFINEDnull	16.png	11
P4_C1090_S1_O12	11	294	3653	497	2	Right_Sample	3360	P4_C1090_S1_O12.edf	1	6	2	p4s1	11	False	R	6	zero2.png	17.png	47.png	zero2.png	2.png	16.png	zero2.png	5.png	23.png	28.png	UNDEFINEDnull	16.png	11
P4_C1090_S1_O12	11	203	4125	497	2	Right_Sample	3922	P4_C1090_S1_O12.edf	1	6	2	p4s1	11	False	R	6	zero2.png	17.png	47.png	zero2.png	2.png	16.png	zero2.png	5.png	23.png	28.png	UNDEFINEDnull	16.png	11
P4_C1090_S1_O12	12	161	3218	161	3	Target_Area	3058	P4_C1090_S1_O12.edf	1	7	2	p4s1	12	False	R	7	45.png	48.png	zero2.png	34.png	24.png	46.png	23.png	zero2.png	zero2.png	7.png	UNDEFINEDnull	23.png	12
P4_C1090_S1_O12	12	575	3825	747	2	Right_Sample	3251	P4_C1090_S1_O12.edf	1	7	2	p4s1	12	False	R	7	45.png	48.png	zero2.png	34.png	24.png	46.png	23.png	zero2.png	zero2.png	7.png	UNDEFINEDnull	23.png	12
P4_C1090_S1_O12	12	172	4010	747	2	Right_Sample	3838	P4_C1090_S1_O12.edf	1	7	2	p4s1	12	False	R	7	45.png	48.png	zero2.png	34.png	24.png	46.png	23.png	zero2.png	zero2.png	7.png	UNDEFINEDnull	23.png	12
P4_C1090_S1_O12	13	189	3245	189	3	Target_Area	3057	P4_C1090_S1_O12.edf	1	7	2	p4s1	13	False	R	7	34.png	zero2.png	zero2.png	zero2.png	18.png	29.png	44.png	35.png	45.png	4.png	UNDEFINEDnull	44.png	13
P4_C1090_S1_O12	13	207	3505	445	2	Right_Sample	3299	P4_C1090_S1_O12.edf	1	7	2	p4s1	13	False	R	7	34.png	zero2.png	zero2.png	zero2.png	18.png	29.png	44.png	35.png	45.png	4.png	UNDEFINEDnull	44.png	13
P4_C1090_S1_O12	13	187	3710	445	2	Right_Sample	3524	P4_C1090_S1_O12.edf	1	7	2	p4s1	13	False	R	7	34.png	zero2.png	zero2.png	zero2.png	18.png	29.png	44.png	35.png	45.png	4.png	UNDEFINEDnull	44.png	13
P4_C1090_S1_O12	13	51	3778	445	2	Right_Sample	3728	P4_C1090_S1_O12.edf	1	7	2	p4s1	13	False	R	7	34.png	zero2.png	zero2.png	zero2.png	18.png	29.png	44.png	35.png	45.png	4.png	UNDEFINEDnull	44.png	13
P4_C1090_S1_O12	14	496	3591	1065	2	Right_Sample	3096	P4_C1090_S1_O12.edf	1	8	2	p4s1	14	False	R	8	2.png	zero2.png	36.png	32.png	6.png	zero2.png	17.png	44.png	zero2.png	45.png	UNDEFINEDnull	44.png	14
P4_C1090_S1_O12	14	330	3943	1065	2	Right_Sample	3614	P4_C1090_S1_O12.edf	1	8	2	p4s1	14	False	R	8	2.png	zero2.png	36.png	32.png	6.png	zero2.png	17.png	44.png	zero2.png	45.png	UNDEFINEDnull	44.png	14
P4_C1090_S1_O12	14	239	4377	1065	2	Right_Sample	4138	P4_C1090_S1_O12.edf	1	8	2	p4s1	14	False	R	8	2.png	zero2.png	36.png	32.png	6.png	zero2.png	17.png	44.png	zero2.png	45.png	UNDEFINEDnull	44.png	14
P4_C1090_S1_O12	15	152	3209	152	3	Target_Area	3058	P4_C1090_S1_O12.edf	1	2	2	p4s1	15	False	R	2	25.png	24.png	14.png	44.png	zero2.png	zero2.png	45.png	zero2.png	28.png	42.png	UNDEFINEDnull	24.png	15
P4_C1090_S1_O12	15	375	3633	751	2	Right_Sample	3259	P4_C1090_S1_O12.edf	1	2	2	p4s1	15	False	R	2	25.png	24.png	14.png	44.png	zero2.png	zero2.png	45.png	zero2.png	28.png	42.png	UNDEFINEDnull	24.png	15
P4_C1090_S1_O12	15	376	4026	751	2	Right_Sample	3650	P4_C1090_S1_O12.edf	1	2	2	p4s1	15	False	R	2	25.png	24.png	14.png	44.png	zero2.png	zero2.png	45.png	zero2.png	28.png	42.png	UNDEFINEDnull	24.png	15
P4_C1090_S1_O12	16	173	3229	944	2	Right_Sample	3057	P4_C1090_S1_O12.edf	1	7	2	p4s1	16	False	R	7	zero2.png	zero2.png	zero2.png	11.png	23.png	13.png	4.png	25.png	16.png	6.png	UNDEFINEDnull	4.png	16
P4_C1090_S1_O12	16	435	3690	944	2	Right_Sample	3256	P4_C1090_S1_O12.edf	1	7	2	p4s1	16	False	R	7	zero2.png	zero2.png	zero2.png	11.png	23.png	13.png	4.png	25.png	16.png	6.png	UNDEFINEDnull	4.png	16
P4_C1090_S1_O12	16	336	4043	944	2	Right_Sample	3707	P4_C1090_S1_O12.edf	1	7	2	p4s1	16	False	R	7	zero2.png	zero2.png	zero2.png	11.png	23.png	13.png	4.png	25.png	16.png	6.png	UNDEFINEDnull	4.png	16
P4_C1090_S1_O12	17	177	3233	177	3	Target_Area	3057	P4_C1090_S1_O12.edf	1	8	2	p4s1	17	False	R	8	24.png	21.png	zero2.png	zero2.png	zero2.png	44.png	14.png	31.png	19.png	7.png	UNDEFINEDnull	31.png	17
P4_C1090_S1_O12	17	47	3329	740	2	Right_Sample	3283	P4_C1090_S1_O12.edf	1	8	2	p4s1	17	False	R	8	24.png	21.png	zero2.png	zero2.png	zero2.png	44.png	14.png	31.png	19.png	7.png	UNDEFINEDnull	31.png	17
P4_C1090_S1_O12	17	693	4043	740	2	Right_Sample	3350	P4_C1090_S1_O12.edf	1	8	2	p4s1	17	False	R	8	24.png	21.png	zero2.png	zero2.png	zero2.png	44.png	14.png	31.png	19.png	7.png	UNDEFINEDnull	31.png	17
P4_C1090_S1_O12	18	173	3230	173	3	Target_Area	3058	P4_C1090_S1_O12.edf	1	9	2	p4s1	18	False	R	9	15.png	zero2.png	4.png	zero2.png	12.png	19.png	29.png	zero2.png	18.png	41.png	UNDEFINEDnull	18.png	18
P4_C1090_S1_O12	18	276	3554	725	2	Right_Sample	3279	P4_C1090_S1_O12.edf	1	9	2	p4s1	18	False	R	9	15.png	zero2.png	4.png	zero2.png	12.png	19.png	29.png	zero2.png	18.png	41.png	UNDEFINEDnull	18.png	18
P4_C1090_S1_O12	18	269	3842	725	2	Right_Sample	3574	P4_C1090_S1_O12.edf	1	9	2	p4s1	18	False	R	9	15.png	zero2.png	4.png	zero2.png	12.png	19.png	29.png	zero2.png	18.png	41.png	UNDEFINEDnull	18.png	18
P4_C1090_S1_O12	18	180	4043	725	2	Right_Sample	3863	P4_C1090_S1_O12.edf	1	9	2	p4s1	18	False	R	9	15.png	zero2.png	4.png	zero2.png	12.png	19.png	29.png	zero2.png	18.png	41.png	UNDEFINEDnull	18.png	18
P4_C1090_S1_O12	19	169	3226	169	3	Target_Area	3058	P4_C1090_S1_O12.edf	1	6	2	p4s1	19	False	L	6	15.png	32.png	12.png	zero2.png	44.png	7.png	zero2.png	16.png	zero2.png	7.png	UNDEFINEDnull	6.png	19
P4_C1090_S1_O12	19	292	3567	557	2	Right_Sample	3276	P4_C1090_S1_O12.edf	1	6	2	p4s1	19	False	L	6	15.png	32.png	12.png	zero2.png	44.png	7.png	zero2.png	16.png	zero2.png	7.png	UNDEFINEDnull	6.png	19
P4_C1090_S1_O12	19	192	3775	557	2	Right_Sample	3584	P4_C1090_S1_O12.edf	1	6	2	p4s1	19	False	L	6	15.png	32.png	12.png	zero2.png	44.png	7.png	zero2.png	16.png	zero2.png	7.png	UNDEFINEDnull	6.png	19
P4_C1090_S1_O12	19	73	4043	557	2	Right_Sample	3970	P4_C1090_S1_O12.edf	1	6	2	p4s1	19	False	L	6	15.png	32.png	12.png	zero2.png	44.png	7.png	zero2.png	16.png	zero2.png	7.png	UNDEFINEDnull	6.png	19
P4_C1090_S1_O12	20	192	3248	192	3	Target_Area	3057	P4_C1090_S1_O12.edf	1	7	2	p4s1	20	False	R	7	zero2.png	10.png	zero2.png	14.png	39.png	12.png	26.png	zero2.png	31.png	35.png	UNDEFINEDnull	26.png	20
P4_C1090_S1_O12	20	659	3958	715	2	Right_Sample	3300	P4_C1090_S1_O12.edf	1	7	2	p4s1	20	False	R	7	zero2.png	10.png	zero2.png	14.png	39.png	12.png	26.png	zero2.png	31.png	35.png	UNDEFINEDnull	26.png	20
P4_C1090_S1_O12	20	56	4176	715	2	Right_Sample	4120	P4_C1090_S1_O12.edf	1	7	2	p4s1	20	False	R	7	zero2.png	10.png	zero2.png	14.png	39.png	12.png	26.png	zero2.png	31.png	35.png	UNDEFINEDnull	26.png	20
