RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_START	DATA_FILE	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P3_C9010_S2_O8	1	181	3254	181	3	Target_Area	3074	P3_C9010_S2_O8.edf	1	6	1	p390102	1	False	UNDEFINEDnull	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P3_C9010_S2_O8	1	343	3653	740	1	LeftSample	3311	P3_C9010_S2_O8.edf	1	6	1	p390102	1	False	UNDEFINEDnull	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P3_C9010_S2_O8	1	397	4076	740	1	LeftSample	3679	P3_C9010_S2_O8.edf	1	6	1	p390102	1	False	UNDEFINEDnull	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P3_C9010_S2_O8	2	148	3203	148	3	Target_Area	3056	P3_C9010_S2_O8.edf	1	5	1	p390102	2	False	UNDEFINEDnull	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P3_C9010_S2_O8	2	446	3716	754	1	LeftSample	3271	P3_C9010_S2_O8.edf	1	5	1	p390102	2	False	UNDEFINEDnull	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P3_C9010_S2_O8	2	308	4042	754	1	LeftSample	3734	P3_C9010_S2_O8.edf	1	5	1	p390102	2	False	UNDEFINEDnull	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P3_C9010_S2_O8	3	151	3206	151	3	Target_Area	3056	P3_C9010_S2_O8.edf	1	4	1	p390102	3	False	UNDEFINEDnull	4	9.png	40.png	31.png	20.png	zero2.png	6.png	zero2.png	zero2.png	4.png	20.png	L	29.png	3
P3_C9010_S2_O8	3	236	3513	737	1	LeftSample	3278	P3_C9010_S2_O8.edf	1	4	1	p390102	3	False	UNDEFINEDnull	4	9.png	40.png	31.png	20.png	zero2.png	6.png	zero2.png	zero2.png	4.png	20.png	L	29.png	3
P3_C9010_S2_O8	3	59	3580	737	1	LeftSample	3522	P3_C9010_S2_O8.edf	1	4	1	p390102	3	False	UNDEFINEDnull	4	9.png	40.png	31.png	20.png	zero2.png	6.png	zero2.png	zero2.png	4.png	20.png	L	29.png	3
P3_C9010_S2_O8	3	442	4042	737	1	LeftSample	3600	P3_C9010_S2_O8.edf	1	4	1	p390102	3	False	UNDEFINEDnull	4	9.png	40.png	31.png	20.png	zero2.png	6.png	zero2.png	zero2.png	4.png	20.png	L	29.png	3
P3_C9010_S2_O8	4	134	3190	134	3	Target_Area	3057	P3_C9010_S2_O8.edf	1	6	1	p390102	4	False	UNDEFINEDnull	6	zero2.png	23.png	7.png	15.png	zero2.png	20.png	33.png	zero2.png	30.png	20.png	L	9.png	4
P3_C9010_S2_O8	4	757	4009	757	1	LeftSample	3252	P3_C9010_S2_O8.edf	1	6	1	p390102	4	False	UNDEFINEDnull	6	zero2.png	23.png	7.png	15.png	zero2.png	20.png	33.png	zero2.png	30.png	20.png	L	9.png	4
P3_C9010_S2_O8	5	123	3179	123	3	Target_Area	3057	P3_C9010_S2_O8.edf	1	6	1	p390102	5	False	UNDEFINEDnull	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P3_C9010_S2_O8	5	307	3543	711	1	LeftSample	3237	P3_C9010_S2_O8.edf	1	6	1	p390102	5	False	UNDEFINEDnull	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P3_C9010_S2_O8	5	200	3775	711	1	LeftSample	3576	P3_C9010_S2_O8.edf	1	6	1	p390102	5	False	UNDEFINEDnull	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P3_C9010_S2_O8	5	204	4009	711	1	LeftSample	3805	P3_C9010_S2_O8.edf	1	6	1	p390102	5	False	UNDEFINEDnull	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P3_C9010_S2_O8	6	134	3190	134	3	Target_Area	3057	P3_C9010_S2_O8.edf	1	9	1	p390102	6	False	UNDEFINEDnull	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P3_C9010_S2_O8	6	529	3778	828	1	LeftSample	3250	P3_C9010_S2_O8.edf	1	9	1	p390102	6	False	UNDEFINEDnull	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P3_C9010_S2_O8	6	215	4020	828	1	LeftSample	3806	P3_C9010_S2_O8.edf	1	9	1	p390102	6	False	UNDEFINEDnull	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P3_C9010_S2_O8	6	84	4127	828	1	LeftSample	4043	P3_C9010_S2_O8.edf	1	9	1	p390102	6	False	UNDEFINEDnull	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P3_C9010_S2_O8	7	119	3176	119	3	Target_Area	3058	P3_C9010_S2_O8.edf	1	9	1	p390102	7	False	UNDEFINEDnull	9	zero2.png	34.png	zero2.png	14.png	11.png	zero2.png	49.png	32.png	17.png	17.png	L	21.png	7
