RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_SAC_END_INTEREST_AREAS	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_END_INTEREST_AREA_LABEL	CURRENT_SAC_START_INTEREST_AREAS	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_START_TIME	TRIAL_START_TIME	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P1_C7525_S2_O2	1	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3355	1251640	1	1	1	P1S2	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S2_O2	1	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3635	1251640	1	1	1	P1S2	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S2_O2	1	[ 1]	1	LeftSample	[ 1]	1	LeftSample	4092	1251640	1	1	1	P1S2	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S2_O2	2	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3241	1261189	1	8	1	P1S2	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINED	20.png	2
P1_C7525_S2_O2	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3535	1261189	1	8	1	P1S2	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINED	20.png	2
P1_C7525_S2_O2	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3762	1261189	1	8	1	P1S2	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINED	20.png	2
P1_C7525_S2_O2	3	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3271	1272745	1	2	2	P1S2	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S2_O2	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3540	1272745	1	2	2	P1S2	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S2_O2	4	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3213	1289177	0	8	1	P1S2	4	False	R	6	zero2.png	28.png	6.png	zero2.png	12.png	29.png	zero2.png	2.png	40.png	44.png	UNDEFINED	29.png	4
P1_C7525_S2_O2	4	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3721	1289177	0	8	1	P1S2	4	False	R	6	zero2.png	28.png	6.png	zero2.png	12.png	29.png	zero2.png	2.png	40.png	44.png	UNDEFINED	29.png	4
P1_C7525_S2_O2	5	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3410	1309035	1	5	1	P1S2	5	False	L	5	14.png	36.png	38.png	zero2.png	40.png	zero2.png	50.png	zero2.png	7.png	40.png	UNDEFINED	21.png	5
P1_C7525_S2_O2	5	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3829	1309035	1	5	1	P1S2	5	False	L	5	14.png	36.png	38.png	zero2.png	40.png	zero2.png	50.png	zero2.png	7.png	40.png	UNDEFINED	21.png	5
P1_C7525_S2_O2	5	[ 1]	1	LeftSample	[ 1]	1	LeftSample	4031	1309035	1	5	1	P1S2	5	False	L	5	14.png	36.png	38.png	zero2.png	40.png	zero2.png	50.png	zero2.png	7.png	40.png	UNDEFINED	21.png	5
P1_C7525_S2_O2	5	[ 1]	1	LeftSample	[ 1]	1	LeftSample	4090	1309035	1	5	1	P1S2	5	False	L	5	14.png	36.png	38.png	zero2.png	40.png	zero2.png	50.png	zero2.png	7.png	40.png	UNDEFINED	21.png	5
P1_C7525_S2_O2	6	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3242	1321692	1	7	2	P1S2	6	False	R	7	5.png	zero2.png	zero2.png	zero2.png	19.png	47.png	27.png	2.png	34.png	39.png	UNDEFINED	27.png	6
P1_C7525_S2_O2	6	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3506	1321692	1	7	2	P1S2	6	False	R	7	5.png	zero2.png	zero2.png	zero2.png	19.png	47.png	27.png	2.png	34.png	39.png	UNDEFINED	27.png	6
P1_C7525_S2_O2	6	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3701	1321692	1	7	2	P1S2	6	False	R	7	5.png	zero2.png	zero2.png	zero2.png	19.png	47.png	27.png	2.png	34.png	39.png	UNDEFINED	27.png	6
P1_C7525_S2_O2	7	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3078	1331361	1	4	1	P1S2	7	False	L	4	zero2.png	25.png	17.png	29.png	8.png	zero2.png	zero2.png	48.png	40.png	29.png	UNDEFINED	49.png	7
P1_C7525_S2_O2	7	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3253	1331361	1	4	1	P1S2	7	False	L	4	zero2.png	25.png	17.png	29.png	8.png	zero2.png	zero2.png	48.png	40.png	29.png	UNDEFINED	49.png	7
