RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_SAC_END_INTEREST_AREAS	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_END_INTEREST_AREA_LABEL	CURRENT_SAC_START_INTEREST_AREAS	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_START_TIME	TRIAL_START_TIME	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P4_C5050_S1_O3	1	[ 3]	3	Target_Area	[ 3]	3	Target_Area	3143	624772	1	4	1	p4	1	False	UNDEFINED	4	35.png	39.png	zero2.png	50.png	zero2.png	5.png	zero2.png	41.png	19.png	50.png	L	43.png	1
P4_C5050_S1_O3	1	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3378	624772	1	4	1	p4	1	False	UNDEFINED	4	35.png	39.png	zero2.png	50.png	zero2.png	5.png	zero2.png	41.png	19.png	50.png	L	43.png	1
P4_C5050_S1_O3	2	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3218	633478	1	9	1	p4	2	False	UNDEFINED	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
P4_C5050_S1_O3	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3588	633478	1	9	1	p4	2	False	UNDEFINED	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
P4_C5050_S1_O3	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3900	633478	1	9	1	p4	2	False	UNDEFINED	9	zero2.png	26.png	7.png	3.png	zero2.png	38.png	50.png	zero2.png	31.png	31.png	L	19.png	2
P4_C5050_S1_O3	3	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3234	643097	0	9	1	p4	3	False	UNDEFINED	2	zero2.png	30.png	42.png	40.png	25.png	zero2.png	3.png	zero2.png	17.png	43.png	R	30.png	3
P4_C5050_S1_O3	3	[ 3]	3	Target_Area	[ 1]	1	LeftSample	3610	643097	0	9	1	p4	3	False	UNDEFINED	2	zero2.png	30.png	42.png	40.png	25.png	zero2.png	3.png	zero2.png	17.png	43.png	R	30.png	3
P4_C5050_S1_O3	3	[ 3]	3	Target_Area	[ 3]	3	Target_Area	3944	643097	0	9	1	p4	3	False	UNDEFINED	2	zero2.png	30.png	42.png	40.png	25.png	zero2.png	3.png	zero2.png	17.png	43.png	R	30.png	3
P4_C5050_S1_O3	4	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3380	654873	0	4	2	p4	4	False	UNDEFINED	9	23.png	38.png	zero2.png	12.png	zero2.png	31.png	zero2.png	36.png	5.png	5.png	L	30.png	4
P4_C5050_S1_O3	4	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3669	654873	0	4	2	p4	4	False	UNDEFINED	9	23.png	38.png	zero2.png	12.png	zero2.png	31.png	zero2.png	36.png	5.png	5.png	L	30.png	4
P4_C5050_S1_O3	4	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3898	654873	0	4	2	p4	4	False	UNDEFINED	9	23.png	38.png	zero2.png	12.png	zero2.png	31.png	zero2.png	36.png	5.png	5.png	L	30.png	4
P4_C5050_S1_O3	5	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3211	666411	1	3	1	p4	5	False	UNDEFINED	3	zero2.png	10.png	41.png	35.png	30.png	zero2.png	1.png	zero2.png	34.png	41.png	L	45.png	5
P4_C5050_S1_O3	6	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3254	676247	0	6	1	p4	6	False	UNDEFINED	4	zero2.png	zero2.png	29.png	10.png	43.png	33.png	zero2.png	34.png	27.png	2.png	R	10.png	6
P4_C5050_S1_O3	7	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3199	687270	0	9	1	p4	7	False	UNDEFINED	1	28.png	38.png	zero2.png	20.png	zero2.png	8.png	11.png	31.png	zero2.png	26.png	R	28.png	7
P4_C5050_S1_O3	7	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3414	687270	0	9	1	p4	7	False	UNDEFINED	1	28.png	38.png	zero2.png	20.png	zero2.png	8.png	11.png	31.png	zero2.png	26.png	R	28.png	7
P4_C5050_S1_O3	7	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3646	687270	0	9	1	p4	7	False	UNDEFINED	1	28.png	38.png	zero2.png	20.png	zero2.png	8.png	11.png	31.png	zero2.png	26.png	R	28.png	7
P4_C5050_S1_O3	7	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3914	687270	0	9	1	p4	7	False	UNDEFINED	1	28.png	38.png	zero2.png	20.png	zero2.png	8.png	11.png	31.png	zero2.png	26.png	R	28.png	7
P4_C5050_S1_O3	8	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3238	698525	0	9	2	p4	8	False	UNDEFINED	5	17.png	46.png	16.png	zero2.png	7.png	zero2.png	3.png	zero2.png	27.png	7.png	L	32.png	8
P4_C5050_S1_O3	8	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3470	698525	0	9	2	p4	8	False	UNDEFINED	5	17.png	46.png	16.png	zero2.png	7.png	zero2.png	3.png	zero2.png	27.png	7.png	L	32.png	8
P4_C5050_S1_O3	9	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3203	708394	1	5	1	p4	9	False	UNDEFINED	5	zero2.png	10.png	zero2.png	zero2.png	11.png	36.png	2.png	24.png	14.png	11.png	L	28.png	9
P4_C5050_S1_O3	9	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3741	708394	1	5	1	p4	9	False	UNDEFINED	5	zero2.png	10.png	zero2.png	zero2.png	11.png	36.png	2.png	24.png	14.png	11.png	L	28.png	9
P4_C5050_S1_O3	10	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3224	717212	1	6	1	p4	10	False	UNDEFINED	6	zero2.png	zero2.png	28.png	27.png	zero2.png	40.png	46.png	13.png	31.png	40.png	L	38.png	10
P4_C5050_S1_O3	11	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3250	725947	0	1	1	p4	11	False	UNDEFINED	2	zero2.png	34.png	35.png	zero2.png	31.png	27.png	zero2.png	14.png	33.png	4.png	R	34.png	11
P4_C5050_S1_O3	12	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3201	736233	1	4	1	p4	12	False	UNDEFINED	4	zero2.png	zero2.png	35.png	20.png	31.png	38.png	19.png	zero2.png	8.png	20.png	L	23.png	12
P4_C5050_S1_O3	13	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3276	745752	1	1	2	p4	13	False	UNDEFINED	1	34.png	46.png	zero2.png	14.png	35.png	zero2.png	zero2.png	17.png	15.png	34.png	L	20.png	13
P4_C5050_S1_O3	13	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3607	745752	1	1	2	p4	13	False	UNDEFINED	1	34.png	46.png	zero2.png	14.png	35.png	zero2.png	zero2.png	17.png	15.png	34.png	L	20.png	13
P4_C5050_S1_O3	13	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3912	745752	1	1	2	p4	13	False	UNDEFINED	1	34.png	46.png	zero2.png	14.png	35.png	zero2.png	zero2.png	17.png	15.png	34.png	L	20.png	13
P4_C5050_S1_O3	14	[ 3]	3	Target_Area	[ 3]	3	Target_Area	3110	756156	1	5	1	p4	14	False	UNDEFINED	5	zero2.png	zero2.png	3.png	zero2.png	18.png	50.png	22.png	38.png	31.png	18.png	L	11.png	14
P4_C5050_S1_O3	14	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3355	756156	1	5	1	p4	14	False	UNDEFINED	5	zero2.png	zero2.png	3.png	zero2.png	18.png	50.png	22.png	38.png	31.png	18.png	L	11.png	14
P4_C5050_S1_O3	14	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3757	756156	1	5	1	p4	14	False	UNDEFINED	5	zero2.png	zero2.png	3.png	zero2.png	18.png	50.png	22.png	38.png	31.png	18.png	L	11.png	14
P4_C5050_S1_O3	15	[ 3]	3	Target_Area	[ 3]	3	Target_Area	3142	765242	1	7	1	p4	15	False	UNDEFINED	7	zero2.png	39.png	22.png	zero2.png	13.png	zero2.png	15.png	46.png	49.png	15.png	L	20.png	15
P4_C5050_S1_O3	15	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3306	765242	1	7	1	p4	15	False	UNDEFINED	7	zero2.png	39.png	22.png	zero2.png	13.png	zero2.png	15.png	46.png	49.png	15.png	L	20.png	15
P4_C5050_S1_O3	15	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3965	765242	1	7	1	p4	15	False	UNDEFINED	7	zero2.png	39.png	22.png	zero2.png	13.png	zero2.png	15.png	46.png	49.png	15.png	L	20.png	15
P4_C5050_S1_O3	16	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3264	774609	0	6	1	p4	16	False	UNDEFINED	8	4.png	23.png	zero2.png	zero2.png	16.png	zero2.png	27.png	36.png	21.png	1.png	R	36.png	16
P4_C5050_S1_O3	16	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3648	774609	0	6	1	p4	16	False	UNDEFINED	8	4.png	23.png	zero2.png	zero2.png	16.png	zero2.png	27.png	36.png	21.png	1.png	R	36.png	16
P4_C5050_S1_O3	16	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3857	774609	0	6	1	p4	16	False	UNDEFINED	8	4.png	23.png	zero2.png	zero2.png	16.png	zero2.png	27.png	36.png	21.png	1.png	R	36.png	16
P4_C5050_S1_O3	17	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3214	784763	1	2	2	p4	17	False	UNDEFINED	2	zero2.png	6.png	40.png	15.png	50.png	zero2.png	zero2.png	3.png	28.png	36.png	R	6.png	17
P4_C5050_S1_O3	17	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3589	784763	1	2	2	p4	17	False	UNDEFINED	2	zero2.png	6.png	40.png	15.png	50.png	zero2.png	zero2.png	3.png	28.png	36.png	R	6.png	17
P4_C5050_S1_O3	18	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3216	793831	0	9	1	p4	18	False	UNDEFINED	6	27.png	34.png	3.png	zero2.png	17.png	8.png	zero2.png	zero2.png	49.png	48.png	R	8.png	18
P4_C5050_S1_O3	18	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3424	793831	0	9	1	p4	18	False	UNDEFINED	6	27.png	34.png	3.png	zero2.png	17.png	8.png	zero2.png	zero2.png	49.png	48.png	R	8.png	18
P4_C5050_S1_O3	19	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3337	804836	0	4	1	p4	19	False	UNDEFINED	9	zero2.png	35.png	6.png	15.png	zero2.png	zero2.png	28.png	41.png	21.png	14.png	R	21.png	19
P4_C5050_S1_O3	19	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3746	804836	0	4	1	p4	19	False	UNDEFINED	9	zero2.png	35.png	6.png	15.png	zero2.png	zero2.png	28.png	41.png	21.png	14.png	R	21.png	19
P4_C5050_S1_O3	19	[ 1]	1	LeftSample	[ 1]	1	LeftSample	4069	804836	0	4	1	p4	19	False	UNDEFINED	9	zero2.png	35.png	6.png	15.png	zero2.png	zero2.png	28.png	41.png	21.png	14.png	R	21.png	19
P4_C5050_S1_O3	20	[ 3]	3	Target_Area	[ 3]	3	Target_Area	2515	817294	1	1	1	p4	20	False	UNDEFINED	1	30.png	36.png	34.png	zero2.png	19.png	18.png	zero2.png	6.png	zero2.png	30.png	L	49.png	20
P4_C5050_S1_O3	20	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3140	817294	1	1	1	p4	20	False	UNDEFINED	1	30.png	36.png	34.png	zero2.png	19.png	18.png	zero2.png	6.png	zero2.png	30.png	L	49.png	20
P4_C5050_S1_O3	20	[ 1]	1	LeftSample	[ ]	.	.	3211	817294	1	1	1	p4	20	False	UNDEFINED	1	30.png	36.png	34.png	zero2.png	19.png	18.png	zero2.png	6.png	zero2.png	30.png	L	49.png	20
P4_C5050_S1_O3	20	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3480	817294	1	1	1	p4	20	False	UNDEFINED	1	30.png	36.png	34.png	zero2.png	19.png	18.png	zero2.png	6.png	zero2.png	30.png	L	49.png	20
