RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_SAC_END_INTEREST_AREAS	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_END_INTEREST_AREA_LABEL	CURRENT_SAC_START_INTEREST_AREAS	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_START_TIME	TRIAL_START_TIME	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3567	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3684	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	4810	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	4883	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	5303	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	5820	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	6413	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	6513	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	6653	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	6862	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	7035	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	7292	5553562	0	6	2	P1C72525	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINED	17.png	1
P1_C7525_S1_O1	2	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3636	5572753	1	8	1	P1C72525	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINED	20.png	2
P1_C7525_S1_O1	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	4105	5572753	1	8	1	P1C72525	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINED	20.png	2
P1_C7525_S1_O1	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	4274	5572753	1	8	1	P1C72525	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINED	20.png	2
P1_C7525_S1_O1	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	4385	5572753	1	8	1	P1C72525	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINED	20.png	2
P1_C7525_S1_O1	2	[ 1]	1	LeftSample	[ 1]	1	LeftSample	4553	5572753	1	8	1	P1C72525	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINED	20.png	2
P1_C7525_S1_O1	3	[ 3]	3	Target_Area	[ 3]	3	Target_Area	6986	5582841	0	4	2	P1C72525	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S1_O1	3	[ 3]	3	Target_Area	[ 3]	3	Target_Area	7193	5582841	0	4	2	P1C72525	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S1_O1	3	[ 3]	3	Target_Area	[ 3]	3	Target_Area	7539	5582841	0	4	2	P1C72525	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S1_O1	3	[ 3]	3	Target_Area	[ 3]	3	Target_Area	7890	5582841	0	4	2	P1C72525	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S1_O1	3	[ 3]	3	Target_Area	[ 3]	3	Target_Area	8196	5582841	0	4	2	P1C72525	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S1_O1	3	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	8486	5582841	0	4	2	P1C72525	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S1_O1	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	9266	5582841	0	4	2	P1C72525	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S1_O1	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	9371	5582841	0	4	2	P1C72525	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
P1_C7525_S1_O1	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	9855	5582841	0	4	2	P1C72525	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINED	2.png	3
