RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_START	DATA_FILE	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P1_C7525_S2_O2	1	285	3354	285	3	Target_Area	3070	P1_C7525_S2_O2.edf	1	1	1	P1S2	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINEDnull	17.png	1
P1_C7525_S2_O2	1	240	3634	679	1	LeftSample	3395	P1_C7525_S2_O2.edf	1	1	1	P1S2	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINEDnull	17.png	1
P1_C7525_S2_O2	1	439	4091	679	1	LeftSample	3653	P1_C7525_S2_O2.edf	1	1	1	P1S2	1	False	L	1	50.png	zero2.png	zero2.png	8.png	zero2.png	5.png	2.png	1.png	9.png	50.png	UNDEFINEDnull	17.png	1
P1_C7525_S2_O2	2	185	3240	185	3	Target_Area	3056	P1_C7525_S2_O2.edf	1	8	1	P1S2	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINEDnull	20.png	2
P1_C7525_S2_O2	2	251	3534	723	1	LeftSample	3284	P1_C7525_S2_O2.edf	1	8	1	P1S2	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINEDnull	20.png	2
P1_C7525_S2_O2	2	204	3761	723	1	LeftSample	3558	P1_C7525_S2_O2.edf	1	8	1	P1S2	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINEDnull	20.png	2
P1_C7525_S2_O2	2	268	4059	723	1	LeftSample	3792	P1_C7525_S2_O2.edf	1	8	1	P1S2	2	False	L	8	38.png	zero2.png	6.png	18.png	28.png	zero2.png	2.png	45.png	zero2.png	45.png	UNDEFINEDnull	20.png	2
P1_C7525_S2_O2	3	214	3270	214	3	Target_Area	3057	P1_C7525_S2_O2.edf	1	2	2	P1S2	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINEDnull	2.png	3
P1_C7525_S2_O2	3	214	3539	756	2	Right_Sample	3326	P1_C7525_S2_O2.edf	1	2	2	P1S2	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINEDnull	2.png	3
P1_C7525_S2_O2	3	542	4093	756	2	Right_Sample	3551	P1_C7525_S2_O2.edf	1	2	2	P1S2	3	False	L	2	8.png	25.png	zero2.png	41.png	1.png	5.png	zero2.png	zero2.png	23.png	25.png	UNDEFINEDnull	2.png	3
P1_C7525_S2_O2	4	155	3212	155	3	Target_Area	3058	P1_C7525_S2_O2.edf	0	8	1	P1S2	4	False	R	6	zero2.png	28.png	6.png	zero2.png	12.png	29.png	zero2.png	2.png	40.png	44.png	UNDEFINEDnull	29.png	4
P1_C7525_S2_O2	4	463	3720	744	1	LeftSample	3258	P1_C7525_S2_O2.edf	0	8	1	P1S2	4	False	R	6	zero2.png	28.png	6.png	zero2.png	12.png	29.png	zero2.png	2.png	40.png	44.png	UNDEFINEDnull	29.png	4
P1_C7525_S2_O2	4	281	4027	744	1	LeftSample	3746	P1_C7525_S2_O2.edf	0	8	1	P1S2	4	False	R	6	zero2.png	28.png	6.png	zero2.png	12.png	29.png	zero2.png	2.png	40.png	44.png	UNDEFINEDnull	29.png	4
P1_C7525_S2_O2	5	237	3409	237	3	Target_Area	3173	P1_C7525_S2_O2.edf	1	5	1	P1S2	5	False	L	5	14.png	36.png	38.png	zero2.png	40.png	zero2.png	50.png	zero2.png	7.png	40.png	UNDEFINEDnull	21.png	5
P1_C7525_S2_O2	5	376	3828	833	1	LeftSample	3453	P1_C7525_S2_O2.edf	1	5	1	P1S2	5	False	L	5	14.png	36.png	38.png	zero2.png	40.png	zero2.png	50.png	zero2.png	7.png	40.png	UNDEFINEDnull	21.png	5
P1_C7525_S2_O2	5	186	4030	833	1	LeftSample	3845	P1_C7525_S2_O2.edf	1	5	1	P1S2	5	False	L	5	14.png	36.png	38.png	zero2.png	40.png	zero2.png	50.png	zero2.png	7.png	40.png	UNDEFINEDnull	21.png	5
P1_C7525_S2_O2	5	42	4089	833	1	LeftSample	4048	P1_C7525_S2_O2.edf	1	5	1	P1S2	5	False	L	5	14.png	36.png	38.png	zero2.png	40.png	zero2.png	50.png	zero2.png	7.png	40.png	UNDEFINEDnull	21.png	5
P1_C7525_S2_O2	5	229	4326	833	1	LeftSample	4097	P1_C7525_S2_O2.edf	1	5	1	P1S2	5	False	L	5	14.png	36.png	38.png	zero2.png	40.png	zero2.png	50.png	zero2.png	7.png	40.png	UNDEFINEDnull	21.png	5
P1_C7525_S2_O2	6	184	3241	184	3	Target_Area	3058	P1_C7525_S2_O2.edf	1	7	2	P1S2	6	False	R	7	5.png	zero2.png	zero2.png	zero2.png	19.png	47.png	27.png	2.png	34.png	39.png	UNDEFINEDnull	27.png	6
P1_C7525_S2_O2	6	214	3505	727	2	Right_Sample	3292	P1_C7525_S2_O2.edf	1	7	2	P1S2	6	False	R	7	5.png	zero2.png	zero2.png	zero2.png	19.png	47.png	27.png	2.png	34.png	39.png	UNDEFINEDnull	27.png	6
P1_C7525_S2_O2	6	170	3700	727	2	Right_Sample	3531	P1_C7525_S2_O2.edf	1	7	2	P1S2	6	False	R	7	5.png	zero2.png	zero2.png	zero2.png	19.png	47.png	27.png	2.png	34.png	39.png	UNDEFINEDnull	27.png	6
P1_C7525_S2_O2	6	343	4060	727	2	Right_Sample	3717	P1_C7525_S2_O2.edf	1	7	2	P1S2	6	False	R	7	5.png	zero2.png	zero2.png	zero2.png	19.png	47.png	27.png	2.png	34.png	39.png	UNDEFINEDnull	27.png	6
P1_C7525_S2_O2	7	20	3077	20	3	Target_Area	3058	P1_C7525_S2_O2.edf	1	4	1	P1S2	7	False	L	4	zero2.png	25.png	17.png	29.png	8.png	zero2.png	zero2.png	48.png	40.png	29.png	UNDEFINEDnull	49.png	7
P1_C7525_S2_O2	7	131	3252	710	1	LeftSample	3122	P1_C7525_S2_O2.edf	1	4	1	P1S2	7	False	L	4	zero2.png	25.png	17.png	29.png	8.png	zero2.png	zero2.png	48.png	40.png	29.png	UNDEFINEDnull	49.png	7
P1_C7525_S2_O2	7	81	3358	710	1	LeftSample	3278	P1_C7525_S2_O2.edf	1	4	1	P1S2	7	False	L	4	zero2.png	25.png	17.png	29.png	8.png	zero2.png	zero2.png	48.png	40.png	29.png	UNDEFINEDnull	49.png	7
P1_C7525_S2_O2	7	399	3780	710	1	LeftSample	3382	P1_C7525_S2_O2.edf	1	4	1	P1S2	7	False	L	4	zero2.png	25.png	17.png	29.png	8.png	zero2.png	zero2.png	48.png	40.png	29.png	UNDEFINEDnull	49.png	7
P1_C7525_S2_O2	7	99	3893	710	1	LeftSample	3794	P1_C7525_S2_O2.edf	1	4	1	P1S2	7	False	L	4	zero2.png	25.png	17.png	29.png	8.png	zero2.png	zero2.png	48.png	40.png	29.png	UNDEFINEDnull	49.png	7
P1_C7525_S2_O2	8	176	3232	176	3	Target_Area	3057	P1_C7525_S2_O2.edf	1	6	2	P1S2	8	False	R	6	zero2.png	zero2.png	zero2.png	27.png	38.png	49.png	22.png	50.png	16.png	33.png	UNDEFINEDnull	49.png	8
P1_C7525_S2_O2	8	712	3992	723	2	Right_Sample	3281	P1_C7525_S2_O2.edf	1	6	2	P1S2	8	False	R	6	zero2.png	zero2.png	zero2.png	27.png	38.png	49.png	22.png	50.png	16.png	33.png	UNDEFINEDnull	49.png	8
P1_C7525_S2_O2	8	11	4042	723	2	Right_Sample	4031	P1_C7525_S2_O2.edf	1	6	2	P1S2	8	False	R	6	zero2.png	zero2.png	zero2.png	27.png	38.png	49.png	22.png	50.png	16.png	33.png	UNDEFINEDnull	49.png	8
P1_C7525_S2_O2	9	139	3197	139	3	Target_Area	3059	P1_C7525_S2_O2.edf	1	1	1	P1S2	9	False	L	1	24.png	8.png	zero2.png	21.png	zero2.png	31.png	9.png	20.png	zero2.png	24.png	UNDEFINEDnull	26.png	9
P1_C7525_S2_O2	9	258	3502	678	1	LeftSample	3245	P1_C7525_S2_O2.edf	1	1	1	P1S2	9	False	L	1	24.png	8.png	zero2.png	21.png	zero2.png	31.png	9.png	20.png	zero2.png	24.png	UNDEFINEDnull	26.png	9
P1_C7525_S2_O2	9	123	3646	678	1	LeftSample	3524	P1_C7525_S2_O2.edf	1	1	1	P1S2	9	False	L	1	24.png	8.png	zero2.png	21.png	zero2.png	31.png	9.png	20.png	zero2.png	24.png	UNDEFINEDnull	26.png	9
P1_C7525_S2_O2	9	208	3896	678	1	LeftSample	3689	P1_C7525_S2_O2.edf	1	1	1	P1S2	9	False	L	1	24.png	8.png	zero2.png	21.png	zero2.png	31.png	9.png	20.png	zero2.png	24.png	UNDEFINEDnull	26.png	9
P1_C7525_S2_O2	9	89	4011	678	1	LeftSample	3922	P1_C7525_S2_O2.edf	1	1	1	P1S2	9	False	L	1	24.png	8.png	zero2.png	21.png	zero2.png	31.png	9.png	20.png	zero2.png	24.png	UNDEFINEDnull	26.png	9
P1_C7525_S2_O2	10	128	3200	128	3	Target_Area	3073	P1_C7525_S2_O2.edf	0	2	2	P1S2	10	False	L	4	34.png	44.png	zero2.png	46.png	39.png	zero2.png	21.png	16.png	zero2.png	46.png	UNDEFINEDnull	29.png	10
P1_C7525_S2_O2	10	303	3552	723	2	Right_Sample	3250	P1_C7525_S2_O2.edf	0	2	2	P1S2	10	False	L	4	34.png	44.png	zero2.png	46.png	39.png	zero2.png	21.png	16.png	zero2.png	46.png	UNDEFINEDnull	29.png	10
P1_C7525_S2_O2	10	186	3753	723	2	Right_Sample	3568	P1_C7525_S2_O2.edf	0	2	2	P1S2	10	False	L	4	34.png	44.png	zero2.png	46.png	39.png	zero2.png	21.png	16.png	zero2.png	46.png	UNDEFINEDnull	29.png	10
P1_C7525_S2_O2	10	167	3929	723	2	Right_Sample	3763	P1_C7525_S2_O2.edf	0	2	2	P1S2	10	False	L	4	34.png	44.png	zero2.png	46.png	39.png	zero2.png	21.png	16.png	zero2.png	46.png	UNDEFINEDnull	29.png	10
P1_C7525_S2_O2	10	67	4009	723	2	Right_Sample	3942	P1_C7525_S2_O2.edf	0	2	2	P1S2	10	False	L	4	34.png	44.png	zero2.png	46.png	39.png	zero2.png	21.png	16.png	zero2.png	46.png	UNDEFINEDnull	29.png	10
P1_C7525_S2_O2	11	206	3377	206	3	Target_Area	3172	P1_C7525_S2_O2.edf	0	9	1	P1S2	11	False	L	4	zero2.png	zero2.png	13.png	46.png	3.png	5.png	28.png	zero2.png	23.png	46.png	UNDEFINEDnull	26.png	11
P1_C7525_S2_O2	11	112	3566	745	1	LeftSample	3455	P1_C7525_S2_O2.edf	0	9	1	P1S2	11	False	L	4	zero2.png	zero2.png	13.png	46.png	3.png	5.png	28.png	zero2.png	23.png	46.png	UNDEFINEDnull	26.png	11
P1_C7525_S2_O2	11	202	3774	745	1	LeftSample	3573	P1_C7525_S2_O2.edf	0	9	1	P1S2	11	False	L	4	zero2.png	zero2.png	13.png	46.png	3.png	5.png	28.png	zero2.png	23.png	46.png	UNDEFINEDnull	26.png	11
P1_C7525_S2_O2	11	431	4225	745	1	LeftSample	3794	P1_C7525_S2_O2.edf	0	9	1	P1S2	11	False	L	4	zero2.png	zero2.png	13.png	46.png	3.png	5.png	28.png	zero2.png	23.png	46.png	UNDEFINEDnull	26.png	11
