RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_SAC_END_INTEREST_AREAS	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_END_INTEREST_AREA_LABEL	CURRENT_SAC_START_INTEREST_AREAS	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_START_TIME	TRIAL_START_TIME	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P4_C2575_S4_O9	1	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3444	240976	0	6	1	4	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P4_C2575_S4_O9	1	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3866	240976	0	6	1	4	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P4_C2575_S4_O9	2	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3299	253000	1	1	2	4	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINED	43.png	2
P4_C2575_S4_O9	2	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3647	253000	1	1	2	4	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINED	43.png	2
P4_C2575_S4_O9	2	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	4082	253000	1	1	2	4	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINED	43.png	2
P4_C2575_S4_O9	3	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3183	261800	1	8	2	4	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINED	27.png	3
P4_C2575_S4_O9	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3587	261800	1	8	2	4	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINED	27.png	3
P4_C2575_S4_O9	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3703	261800	1	8	2	4	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINED	27.png	3
P4_C2575_S4_O9	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3997	261800	1	8	2	4	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINED	27.png	3
P4_C2575_S4_O9	4	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3202	270449	1	2	2	4	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINED	16.png	4
P4_C2575_S4_O9	4	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3616	270449	1	2	2	4	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINED	16.png	4
