RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_DURATION	CURRENT_FIX_END	CURRENT_FIX_INTEREST_AREA_DWELL_TIME	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_LABEL	CURRENT_FIX_START	DATA_FILE	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P3_C9010_S1_O7	1	86	3165	840	1	LeftSample	3080	P3_C9010_S1_O7.edf	1	6	1	p390101	1	False	UNDEFINEDnull	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P3_C9010_S1_O7	1	36	3291	36	3	Target_Area	3256	P3_C9010_S1_O7.edf	1	6	1	p390101	1	False	UNDEFINEDnull	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P3_C9010_S1_O7	1	369	3730	840	1	LeftSample	3362	P3_C9010_S1_O7.edf	1	6	1	p390101	1	False	UNDEFINEDnull	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P3_C9010_S1_O7	1	385	4145	840	1	LeftSample	3760	P3_C9010_S1_O7.edf	1	6	1	p390101	1	False	UNDEFINEDnull	6	zero2.png	zero2.png	26.png	4.png	zero2.png	35.png	20.png	9.png	32.png	35.png	L	27.png	1
P3_C9010_S1_O7	2	143	3200	143	3	Target_Area	3058	P3_C9010_S1_O7.edf	1	5	1	p390101	2	False	UNDEFINEDnull	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P3_C9010_S1_O7	2	315	3572	714	1	LeftSample	3258	P3_C9010_S1_O7.edf	1	5	1	p390101	2	False	UNDEFINEDnull	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P3_C9010_S1_O7	2	95	3690	714	1	LeftSample	3596	P3_C9010_S1_O7.edf	1	5	1	p390101	2	False	UNDEFINEDnull	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P3_C9010_S1_O7	2	304	4026	714	1	LeftSample	3722	P3_C9010_S1_O7.edf	1	5	1	p390101	2	False	UNDEFINEDnull	5	8.png	zero2.png	zero2.png	9.png	15.png	3.png	38.png	2.png	zero2.png	15.png	L	35.png	2
P3_C9010_S1_O7	3	167	3224	167	3	Target_Area	3058	P3_C9010_S1_O7.edf	1	4	1	p390101	3	False	UNDEFINEDnull	4	9.png	40.png	31.png	20.png	zero2.png	6.png	zero2.png	zero2.png	4.png	20.png	L	29.png	3
P3_C9010_S1_O7	3	298	3578	740	1	LeftSample	3281	P3_C9010_S1_O7.edf	1	4	1	p390101	3	False	UNDEFINEDnull	4	9.png	40.png	31.png	20.png	zero2.png	6.png	zero2.png	zero2.png	4.png	20.png	L	29.png	3
P3_C9010_S1_O7	3	442	4043	740	1	LeftSample	3601	P3_C9010_S1_O7.edf	1	4	1	p390101	3	False	UNDEFINEDnull	4	9.png	40.png	31.png	20.png	zero2.png	6.png	zero2.png	zero2.png	4.png	20.png	L	29.png	3
P3_C9010_S1_O7	4	39	3095	39	3	Target_Area	3057	P3_C9010_S1_O7.edf	1	6	1	p390101	4	False	UNDEFINEDnull	6	zero2.png	23.png	7.png	15.png	zero2.png	20.png	33.png	zero2.png	30.png	20.png	L	9.png	4
P3_C9010_S1_O7	4	421	3574	832	1	LeftSample	3154	P3_C9010_S1_O7.edf	1	6	1	p390101	4	False	UNDEFINEDnull	6	zero2.png	23.png	7.png	15.png	zero2.png	20.png	33.png	zero2.png	30.png	20.png	L	9.png	4
P3_C9010_S1_O7	4	201	3787	832	1	LeftSample	3587	P3_C9010_S1_O7.edf	1	6	1	p390101	4	False	UNDEFINEDnull	6	zero2.png	23.png	7.png	15.png	zero2.png	20.png	33.png	zero2.png	30.png	20.png	L	9.png	4
P3_C9010_S1_O7	4	210	4026	832	1	LeftSample	3816	P3_C9010_S1_O7.edf	1	6	1	p390101	4	False	UNDEFINEDnull	6	zero2.png	23.png	7.png	15.png	zero2.png	20.png	33.png	zero2.png	30.png	20.png	L	9.png	4
P3_C9010_S1_O7	5	193	3249	193	3	Target_Area	3057	P3_C9010_S1_O7.edf	0	7	2	p390101	5	False	UNDEFINEDnull	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P3_C9010_S1_O7	5	286	3596	699	2	Right_Sample	3311	P3_C9010_S1_O7.edf	0	7	2	p390101	5	False	UNDEFINEDnull	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P3_C9010_S1_O7	5	191	3820	699	2	Right_Sample	3630	P3_C9010_S1_O7.edf	0	7	2	p390101	5	False	UNDEFINEDnull	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P3_C9010_S1_O7	5	162	4010	699	2	Right_Sample	3849	P3_C9010_S1_O7.edf	0	7	2	p390101	5	False	UNDEFINEDnull	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P3_C9010_S1_O7	5	60	4092	699	2	Right_Sample	4032	P3_C9010_S1_O7.edf	0	7	2	p390101	5	False	UNDEFINEDnull	6	2.png	17.png	15.png	zero2.png	32.png	31.png	41.png	zero2.png	zero2.png	31.png	L	12.png	5
P3_C9010_S1_O7	6	148	3205	148	3	Target_Area	3058	P3_C9010_S1_O7.edf	1	9	1	p390101	6	False	UNDEFINEDnull	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P3_C9010_S1_O7	6	409	3673	799	1	LeftSample	3265	P3_C9010_S1_O7.edf	1	9	1	p390101	6	False	UNDEFINEDnull	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P3_C9010_S1_O7	6	91	3781	799	1	LeftSample	3691	P3_C9010_S1_O7.edf	1	9	1	p390101	6	False	UNDEFINEDnull	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P3_C9010_S1_O7	6	156	3971	799	1	LeftSample	3816	P3_C9010_S1_O7.edf	1	9	1	p390101	6	False	UNDEFINEDnull	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P3_C9010_S1_O7	6	143	4127	799	1	LeftSample	3984	P3_C9010_S1_O7.edf	1	9	1	p390101	6	False	UNDEFINEDnull	9	44.png	31.png	33.png	17.png	zero2.png	zero2.png	zero2.png	34.png	11.png	11.png	L	9.png	6
P3_C9010_S1_O7	7	119	3174	119	3	Target_Area	3056	P3_C9010_S1_O7.edf	1	9	1	p390101	7	False	UNDEFINEDnull	9	zero2.png	34.png	zero2.png	14.png	11.png	zero2.png	49.png	32.png	17.png	17.png	L	21.png	7
