RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_SAC_END_INTEREST_AREAS	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_END_INTEREST_AREA_LABEL	CURRENT_SAC_START_INTEREST_AREAS	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_START_TIME	TRIAL_START_TIME	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P2_C1090_S2_O10	1	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3270	238937	0	1	1	P2C10902	1	False	R	4	39.png	zero2.png	6.png	18.png	zero2.png	30.png	27.png	zero2.png	48.png	35.png	UNDEFINED	18.png	1
P2_C1090_S2_O10	1	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3780	238937	0	1	1	P2C10902	1	False	R	4	39.png	zero2.png	6.png	18.png	zero2.png	30.png	27.png	zero2.png	48.png	35.png	UNDEFINED	18.png	1
P2_C1090_S2_O10	2	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3042	252620	1	5	2	P2C10902	2	False	R	5	40.png	50.png	zero2.png	zero2.png	30.png	zero2.png	22.png	6.png	42.png	10.png	UNDEFINED	30.png	2
P2_C1090_S2_O10	2	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	5356	252620	1	5	2	P2C10902	2	False	R	5	40.png	50.png	zero2.png	zero2.png	30.png	zero2.png	22.png	6.png	42.png	10.png	UNDEFINED	30.png	2
P2_C1090_S2_O10	2	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	5963	252620	1	5	2	P2C10902	2	False	R	5	40.png	50.png	zero2.png	zero2.png	30.png	zero2.png	22.png	6.png	42.png	10.png	UNDEFINED	30.png	2
P2_C1090_S2_O10	3	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3049	265313	0	3	2	P2C10902	3	False	L	2	zero2.png	39.png	21.png	27.png	16.png	7.png	zero2.png	48.png	zero2.png	39.png	UNDEFINED	31.png	3
P2_C1090_S2_O10	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3273	265313	0	3	2	P2C10902	3	False	L	2	zero2.png	39.png	21.png	27.png	16.png	7.png	zero2.png	48.png	zero2.png	39.png	UNDEFINED	31.png	3
P2_C1090_S2_O10	4	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3086	277403	0	3	1	P2C10902	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINED	10.png	4
P2_C1090_S2_O10	4	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3428	277403	0	3	1	P2C10902	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINED	10.png	4
P2_C1090_S2_O10	4	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3668	277403	0	3	1	P2C10902	4	False	R	4	zero2.png	zero2.png	13.png	10.png	20.png	44.png	zero2.png	11.png	30.png	1.png	UNDEFINED	10.png	4
P2_C1090_S2_O10	5	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3203	290263	0	6	1	P2C10902	5	False	R	3	38.png	32.png	33.png	25.png	zero2.png	2.png	zero2.png	zero2.png	17.png	6.png	UNDEFINED	33.png	5
P2_C1090_S2_O10	6	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3222	302771	1	3	2	P2C10902	6	False	R	3	zero2.png	19.png	42.png	33.png	3.png	9.png	zero2.png	zero2.png	12.png	21.png	UNDEFINED	42.png	6
P2_C1090_S2_O10	6	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3643	302771	1	3	2	P2C10902	6	False	R	3	zero2.png	19.png	42.png	33.png	3.png	9.png	zero2.png	zero2.png	12.png	21.png	UNDEFINED	42.png	6
P2_C1090_S2_O10	7	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3224	311605	1	8	2	P2C10902	7	False	R	8	zero2.png	47.png	zero2.png	43.png	40.png	27.png	zero2.png	28.png	24.png	8.png	UNDEFINED	28.png	7
P2_C1090_S2_O10	8	[ 3]	3	Target_Area	[ 3]	3	Target_Area	3280	320491	1	6	2	P2C10902	8	False	R	6	zero2.png	zero2.png	35.png	zero2.png	29.png	23.png	11.png	30.png	13.png	16.png	UNDEFINED	23.png	8
P2_C1090_S2_O10	8	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3597	320491	1	6	2	P2C10902	8	False	R	6	zero2.png	zero2.png	35.png	zero2.png	29.png	23.png	11.png	30.png	13.png	16.png	UNDEFINED	23.png	8
P2_C1090_S2_O10	8	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	4027	320491	1	6	2	P2C10902	8	False	R	6	zero2.png	zero2.png	35.png	zero2.png	29.png	23.png	11.png	30.png	13.png	16.png	UNDEFINED	23.png	8
P2_C1090_S2_O10	9	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3230	329690	1	8	2	P2C10902	9	False	R	8	17.png	zero2.png	zero2.png	44.png	zero2.png	50.png	2.png	32.png	36.png	24.png	UNDEFINED	32.png	9
P2_C1090_S2_O10	9	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3649	329690	1	8	2	P2C10902	9	False	R	8	17.png	zero2.png	zero2.png	44.png	zero2.png	50.png	2.png	32.png	36.png	24.png	UNDEFINED	32.png	9
P2_C1090_S2_O10	10	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3051	339110	1	1	2	P2C10902	10	False	R	1	11.png	47.png	zero2.png	8.png	39.png	zero2.png	zero2.png	32.png	18.png	23.png	UNDEFINED	11.png	10
P2_C1090_S2_O10	10	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3243	339110	1	1	2	P2C10902	10	False	R	1	11.png	47.png	zero2.png	8.png	39.png	zero2.png	zero2.png	32.png	18.png	23.png	UNDEFINED	11.png	10
P2_C1090_S2_O10	10	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3568	339110	1	1	2	P2C10902	10	False	R	1	11.png	47.png	zero2.png	8.png	39.png	zero2.png	zero2.png	32.png	18.png	23.png	UNDEFINED	11.png	10
P2_C1090_S2_O10	11	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3212	348128	1	6	2	P2C10902	11	False	R	6	zero2.png	17.png	47.png	zero2.png	2.png	16.png	zero2.png	5.png	23.png	28.png	UNDEFINED	16.png	11
P2_C1090_S2_O10	11	[ 1]	1	LeftSample	[ 2]	2	Right_Sample	4031	348128	1	6	2	P2C10902	11	False	R	6	zero2.png	17.png	47.png	zero2.png	2.png	16.png	zero2.png	5.png	23.png	28.png	UNDEFINED	16.png	11
P2_C1090_S2_O10	12	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3230	357663	1	7	2	P2C10902	12	False	R	7	45.png	48.png	zero2.png	34.png	24.png	46.png	23.png	zero2.png	zero2.png	7.png	UNDEFINED	23.png	12
P2_C1090_S2_O10	12	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3566	357663	1	7	2	P2C10902	12	False	R	7	45.png	48.png	zero2.png	34.png	24.png	46.png	23.png	zero2.png	zero2.png	7.png	UNDEFINED	23.png	12
