RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_SAC_END_INTEREST_AREAS	CURRENT_SAC_END_INTEREST_AREA_ID	CURRENT_SAC_END_INTEREST_AREA_LABEL	CURRENT_SAC_START_INTEREST_AREAS	CURRENT_SAC_START_INTEREST_AREA_ID	CURRENT_SAC_START_INTEREST_AREA_LABEL	CURRENT_SAC_START_TIME	TRIAL_START_TIME	ACCURACY	KEY_PRESSED	LADO	Session_Name_	Trial_Index_	Trial_Recycled_	col16	correctkey	image1	image2	image3	image4	image5	image6	image7	image8	image9	left_stimuli	lorr	right_stimuli	trial
P4_C2575_S3_O8	1	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	4058	132086	1	8	2	4c	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P4_C2575_S3_O8	1	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	4535	132086	1	8	2	4c	1	False	R	8	zero2.png	29.png	zero2.png	46.png	47.png	41.png	zero2.png	3.png	1.png	30.png	UNDEFINED	3.png	1
P4_C2575_S3_O8	2	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3195	141592	0	6	1	4c	2	False	R	1	43.png	33.png	38.png	zero2.png	6.png	zero2.png	21.png	zero2.png	1.png	20.png	UNDEFINED	43.png	2
P4_C2575_S3_O8	3	[ 3]	3	Target_Area	[ 3]	3	Target_Area	3073	150828	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINED	27.png	3
P4_C2575_S3_O8	3	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3232	150828	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINED	27.png	3
P4_C2575_S3_O8	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3575	150828	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINED	27.png	3
P4_C2575_S3_O8	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3778	150828	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINED	27.png	3
P4_C2575_S3_O8	3	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3993	150828	1	8	2	4c	3	False	R	8	40.png	38.png	zero2.png	zero2.png	4.png	10.png	zero2.png	27.png	43.png	23.png	UNDEFINED	27.png	3
P4_C2575_S3_O8	4	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3221	159494	1	2	2	4c	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINED	16.png	4
P4_C2575_S3_O8	4	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3571	159494	1	2	2	4c	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINED	16.png	4
P4_C2575_S3_O8	4	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3829	159494	1	2	2	4c	4	False	R	2	zero2.png	16.png	26.png	zero2.png	22.png	zero2.png	41.png	32.png	45.png	44.png	UNDEFINED	16.png	4
P4_C2575_S3_O8	5	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3226	170233	1	5	1	4c	5	False	L	5	9.png	46.png	18.png	zero2.png	45.png	zero2.png	27.png	zero2.png	30.png	45.png	UNDEFINED	31.png	5
P4_C2575_S3_O8	5	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3559	170233	1	5	1	4c	5	False	L	5	9.png	46.png	18.png	zero2.png	45.png	zero2.png	27.png	zero2.png	30.png	45.png	UNDEFINED	31.png	5
P4_C2575_S3_O8	5	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3692	170233	1	5	1	4c	5	False	L	5	9.png	46.png	18.png	zero2.png	45.png	zero2.png	27.png	zero2.png	30.png	45.png	UNDEFINED	31.png	5
P4_C2575_S3_O8	6	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3174	178817	1	5	2	4c	6	False	R	5	zero2.png	16.png	37.png	zero2.png	31.png	zero2.png	45.png	22.png	6.png	25.png	UNDEFINED	31.png	6
P4_C2575_S3_O8	7	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3156	187334	1	1	2	4c	7	False	L	1	26.png	34.png	zero2.png	zero2.png	39.png	3.png	21.png	12.png	zero2.png	26.png	UNDEFINED	19.png	7
P4_C2575_S3_O8	7	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	4323	187334	1	1	2	4c	7	False	L	1	26.png	34.png	zero2.png	zero2.png	39.png	3.png	21.png	12.png	zero2.png	26.png	UNDEFINED	19.png	7
P4_C2575_S3_O8	7	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	4721	187334	1	1	2	4c	7	False	L	1	26.png	34.png	zero2.png	zero2.png	39.png	3.png	21.png	12.png	zero2.png	26.png	UNDEFINED	19.png	7
P4_C2575_S3_O8	8	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3226	198556	0	8	2	4c	8	False	L	3	9.png	47.png	3.png	37.png	zero2.png	zero2.png	8.png	zero2.png	16.png	3.png	UNDEFINED	44.png	8
P4_C2575_S3_O8	8	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3637	198556	0	8	2	4c	8	False	L	3	9.png	47.png	3.png	37.png	zero2.png	zero2.png	8.png	zero2.png	16.png	3.png	UNDEFINED	44.png	8
P4_C2575_S3_O8	9	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3195	208176	1	4	1	4c	9	False	R	4	45.png	18.png	zero2.png	38.png	37.png	19.png	26.png	zero2.png	zero2.png	17.png	UNDEFINED	38.png	9
P4_C2575_S3_O8	9	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3643	208176	1	4	1	4c	9	False	R	4	45.png	18.png	zero2.png	38.png	37.png	19.png	26.png	zero2.png	zero2.png	17.png	UNDEFINED	38.png	9
P4_C2575_S3_O8	9	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3982	208176	1	4	1	4c	9	False	R	4	45.png	18.png	zero2.png	38.png	37.png	19.png	26.png	zero2.png	zero2.png	17.png	UNDEFINED	38.png	9
P4_C2575_S3_O8	10	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3205	218511	1	7	2	4c	10	False	R	7	zero2.png	44.png	31.png	8.png	zero2.png	zero2.png	40.png	49.png	11.png	32.png	UNDEFINED	40.png	10
P4_C2575_S3_O8	10	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3692	218511	1	7	2	4c	10	False	R	7	zero2.png	44.png	31.png	8.png	zero2.png	zero2.png	40.png	49.png	11.png	32.png	UNDEFINED	40.png	10
P4_C2575_S3_O8	11	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3192	227279	0	2	1	4c	11	False	R	5	39.png	14.png	zero2.png	24.png	37.png	35.png	zero2.png	zero2.png	29.png	5.png	UNDEFINED	37.png	11
P4_C2575_S3_O8	11	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3583	227279	0	2	1	4c	11	False	R	5	39.png	14.png	zero2.png	24.png	37.png	35.png	zero2.png	zero2.png	29.png	5.png	UNDEFINED	37.png	11
P4_C2575_S3_O8	12	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3205	236481	0	4	2	4c	12	False	L	2	43.png	20.png	zero2.png	46.png	zero2.png	zero2.png	35.png	3.png	40.png	20.png	UNDEFINED	1.png	12
P4_C2575_S3_O8	13	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3285	247453	1	9	2	4c	13	False	R	9	zero2.png	28.png	zero2.png	33.png	35.png	29.png	27.png	zero2.png	32.png	48.png	UNDEFINED	32.png	13
P4_C2575_S3_O8	13	[ 2]	2	Right_Sample	[ 2]	2	Right_Sample	3658	247453	1	9	2	4c	13	False	R	9	zero2.png	28.png	zero2.png	33.png	35.png	29.png	27.png	zero2.png	32.png	48.png	UNDEFINED	32.png	13
P4_C2575_S3_O8	14	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3110	256287	0	7	1	4c	14	False	R	2	zero2.png	3.png	50.png	23.png	zero2.png	2.png	42.png	7.png	zero2.png	37.png	UNDEFINED	3.png	14
P4_C2575_S3_O8	14	[ 1]	1	LeftSample	[ 3]	3	Target_Area	3223	256287	0	7	1	4c	14	False	R	2	zero2.png	3.png	50.png	23.png	zero2.png	2.png	42.png	7.png	zero2.png	37.png	UNDEFINED	3.png	14
P4_C2575_S3_O8	14	[ 1]	1	LeftSample	[ 1]	1	LeftSample	3615	256287	0	7	1	4c	14	False	R	2	zero2.png	3.png	50.png	23.png	zero2.png	2.png	42.png	7.png	zero2.png	37.png	UNDEFINED	3.png	14
P4_C2575_S3_O8	15	[ 2]	2	Right_Sample	[ 3]	3	Target_Area	3218	267126	1	3	2	4c	15	False	R	3	18.png	zero2.png	46.png	42.png	zero2.png	zero2.png	17.png	1.png	34.png	15.png	UNDEFINED	46.png	15
